1000,850
ALB,655,701
AND,304,657
AUT,585,544
BLR,748,400
BEL,390,480
BIH,627,643
BGR,717,666
HRV,573,597
CYP,962,807
CZE,537,504
DNK,523,379
EST,687,287
FIN,686,263
FRA,340,523
DEU,538,449
GRC,749,775
HUN,623,561
ISL,163,91
IRE,241,392
ITA,510,689
LVA,695,338
LIE,465,569
LTU,718,391
LUX,413,502
MKD,685,681
MLT,552,828
MDA,812,557
MCO,417,640
MNE,646,682
NLD,402,447
NOR,506,278
POL,651,450
PRT,71,690
ROU,768,625
RUS,885,315
SMR,512,629
SRB,657,623
SVK,599,546
SVN,552,595
ESP,186,679
SWE,601,295
CHE,426,570
TUR,924,695
UKR,819,472
GBR,326,454
