ALB,0.6550,0.8247
AND,0.3040,0.7729
AUT,0.5850,0.6400
BLR,0.7480,0.4706
BEL,0.3900,0.5647
BIH,0.6270,0.7565
BGR,0.7170,0.7835
HRV,0.5730,0.7024
CYP,0.9620,0.9494
CZE,0.5370,0.5929
DNK,0.5230,0.4459
EST,0.6870,0.3376
FIN,0.6860,0.3094
FRA,0.3400,0.6153
DEU,0.5380,0.5282
GRC,0.7490,0.9118
HUN,0.6230,0.6600
ISL,0.1630,0.1071
IRE,0.2410,0.4612
ITA,0.5100,0.8106
LVA,0.6950,0.3976
LIE,0.4650,0.6694
LTU,0.7180,0.4600
LUX,0.4130,0.5906
MKD,0.6850,0.8012
MLT,0.5520,0.9741
MDA,0.8120,0.6553
MCO,0.4170,0.7529
MNE,0.6460,0.8024
NLD,0.4020,0.5259
NOR,0.5060,0.3271
POL,0.6510,0.5294
PRT,0.0710,0.8118
ROU,0.7680,0.7353
RUS,0.8850,0.3706
SMR,0.5120,0.7400
SRB,0.6570,0.7329
SVK,0.5990,0.6424
SVN,0.5520,0.7000
ESP,0.1860,0.7988
SWE,0.6010,0.3471
CHE,0.4260,0.6706
TUR,0.9240,0.8176
UKR,0.8190,0.5553
GBR,0.3260,0.5341
